Date,Title,Year,Director,Duration,Format,Series,IMDbID
04/09/2024,Barry Lyndon,1975,Stanley Kubrick,3h 5m,Blu-Ray,The Films of Stanley Kubrick,tt0072684
04/09/2024,Monkeybone,2001,Henry Selick,1h 33m,– – –,The Films of Henry Selick,tt0166276
04/10/2024,Coraline,2009,Henry Selick,1h 40m,Max,The Films of Henry Selick,tt0327597
4/10/2024,Wendell & Wild,2022,Henry Selick,1h 47m,Netflix,The Films of Henry Selick,tt5181830
4/11/2024,The Killer,2023,David Fincher,1h 58m,Netflix,The Films of David Fincher,tt1136617
4/11/2024,Shallow Grave,1994,Danny Boyle,1h 33m,– – –,The Films of Danny Boyle,tt0111149
4/12/2024,Trainspotting,1996,Danny Boyle,1h 34m,– – –,The Films of Danny Boyle,tt0117951
4/12/2024,A Life Less Ordinary,1997,Danny Boyle,1h 43m,– – –,The Films of Danny Boyle,tt0119535
4/13/24,The Beach,2000,Danny Boyle,1h 59m,– – –,The Films of Danny Boyle,tt0163978
4/13/24,28 Days Later,2002,Danny Boyle,1h 53m,Blu-Ray,The Films of Danny Boyle,tt0289043
4/14/24,Millions,2004,Danny Boyle,1h 38m,– – –,The Films of Danny Boyle,tt0366777
4/14/24,Slumdog Millionaire,2008,Danny Boyle,2h 0m,Hulu,The Films of Danny Boyle,tt1010048
4/15/24,Trance,2013,Danny Boyle,1h 41m,– – –,The Films of Danny Boyle,tt1924429
4/15/24,T2 Trainspotting,2017,Danny Boyle,1h 57m,– – –,The Films of Danny Boyle,tt2763304
4/16/24,The Navigator,1924,Buster Keaton,1h 5m,Kanopy / Tubi,The Films of Buster Keaton,tt0015163
4/16/24,Seven Chances,1925,Buster Keaton,0h 56m,Kanopy,The Films of Buster Keaton,tt0016332
4/17/24,Go West,1925,Buster Keaton,1h 9m,Kanopy / Tubi,The Films of Buster Keaton,tt0015863
4/17/24,Battling Butler,1926,Buster Keaton,1h 17m,Kanopy / Tubi,The Films of Buster Keaton,tt0016630
4/18/24,"Steamboat Bill, Jr",1928,Buster Keaton,1h 10m,Kanopy / Tubi,The Films of Buster Keaton,tt0019421
4/18/24,The Cameraman,1928,Buster Keaton,1h 14m,Tubi,The Films of Buster Keaton,tt0018742
4/19/24,Spite Marriage,1929,Buster Keaton,1h 16m,– – –,The Films of Buster Keaton,tt0020442
4/19/24,The Moon Is... the Sun's Dream,1992,Park Chan-wook,1h 43m,– – –,The Films of Park Chan-wook,tt0471268
4/20/24,Trio,1997,Park Chan-wook,1h 42m,– – –,The Films of Park Chan-wook,tt0471369
4/20/24,Joint Security Area,2000,Park Chan-wook,1h 48m,Tubi,The Films of Park Chan-wook,tt0260991
4/21/24,"I'm a Cyborg, But That's OK",2006,Park Chan-wook,1h 45m,– – –,The Films of Park Chan-wook,tt0497137
4/21/24,Thirst,2009,Park Chan-wook,2h 14m,– – –,The Films of Park Chan-wook,tt0762073
4/22/24,Stoker,2013,Park Chan-wook,1h 39m,– – –,The Films of Park Chan-wook,tt1682180
4/22/24,Nomads,1986,John McTiernan,1h 29m,,The Films of John McTiernan,tt0091647
4/23/24,Predator,1987,John McTiernan,1h 47m,,The Films of John McTiernan,tt0093773
4/23/24,Die Hard,1988,John McTiernan,2h 12m,,The Films of John McTiernan,tt0095016
4/24/24,The Hunt for Red October,1990,John McTiernan,2h 15m,,The Films of John McTiernan,tt0099810
4/24/24,Medicine Man,1992,John McTiernan,1h 46m,,The Films of John McTiernan,tt0104839
4/25/24,Last Action Hero,1993,John McTiernan,2h 11m,,The Films of John McTiernan,tt0107362
4/25/24,Die Hard With a Vengeance,1995,John McTiernan,2h 8m,,The Films of John McTiernan,tt0112864
4/26/24,The Thomas Crown Affair,1999,John McTiernan,1h 53m,,The Films of John McTiernan,tt0155267
4/26/24,The 13th Warrior,1999,John McTiernan,1h 42m,,The Films of John McTiernan,tt0120657
4/27/24,Rollerball,2002,John McTiernan,1h 38m,,The Films of John McTiernan,tt0246894
4/27/24,Basic,2003,John McTiernan,1h 38m,,The Films of John McTiernan,tt0264395
5/01/24,Basic,2003,John McTiernan,1h 38m,,The Films of John McTiernan,tt0264395
